id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,Guesthouse in Seattle · ★4.60 · 1 bedroom · 1 bed · 1 bath,14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,160,2023-08-05,0.91,2,177,1,str-opli-19-002622
9419,Rental unit in Seattle · ★4.72 · 1 bedroom · 1 bed · 3 shared baths,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,67,2,194,2023-09-22,1.19,9,364,21,STR-OPLI-19-003039
9531,Home in Seattle · ★4.97 · 2 bedrooms · 3 beds · 1 bath,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,184,3,86,2023-12-08,0.59,2,338,16,STR-OPLI-19-002182
9534,Guest suite in Seattle · ★4.99 · 2 bedrooms · 2 beds · 1 bath,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,155,2,76,2023-09-16,0.52,2,106,5,STR-OPLI-19-002182
9596,Rental unit in Seattle · ★4.56 · 1 bedroom · 4 beds · 1 bath,14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,,30,96,2020-09-28,0.63,2,0,0,STR -OPLI-19-002622
9909,Home in Seattle · ★4.80 · 2 bedrooms · 2 beds · 1 bath,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,228,3,82,2023-02-06,0.48,9,361,1,STR-OPLI-19-000033
25002,Guest suite in Seattle · ★4.93 · 1 bedroom · 2 beds · 1 bath,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,94,2,1032,2023-11-29,6.20,1,162,71,STR-OPLI-19-002617
37234,Home in Seattle · ★4.17 · 1 bedroom · 2 beds · 1 bath,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,130,3,6,2023-08-26,0.07,2,353,2,STR-OPLI-19-002333
68508,Rental unit in Seattle · ★4.63 · 2 bedrooms · 2 beds · 1 bath,340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,225,30,8,2023-09-28,0.31,2,76,7,STR-OPLI-19-002747
116221,Rental unit in Seattle · ★4.74 · 1 bedroom · 1 bed · 1 bath,587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,,90,48,2022-03-26,0.32,1,0,0,
