id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,160,2023-08-05,0.89,1,147,1,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,72,2,194,2023-09-22,1.17,9,358,20,Exempt
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,166,3,88,2024-03-03,0.59,2,140,17,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,2,77,2023-12-27,0.52,2,85,3,STR-OPLI-19-002182
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,81,2,1042,2024-03-15,6.15,1,109,67,STR-OPLI-19-002617
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,130,3,6,2023-08-26,0.07,2,1,2,STR-OPLI-19-002333
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,99,3,546,2024-03-13,3.51,2,340,32,STR-OPLI-19-000772
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,175,30,34,2024-02-06,0.29,1,172,4,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,66,30,76,2023-08-12,0.64,4,358,1,STR-OPLI-19-002472
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,63,1,371,2024-03-16,2.46,1,165,54,STR-OPLI-19-000684
226677,Sunny Parisian room cozy memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54971,-122.31753,Private room,60,2,273,2024-03-03,1.81,9,317,29,Exempt
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,155,3,19,2023-11-24,0.27,1,192,8,STR-OPLI-21-000532
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,242,2,143,2024-03-02,1.14,3,350,17,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,98,2,358,2024-01-16,2.37,3,97,31,STR-OPLI-21-000431
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67632,-122.36019,Entire home/apt,,30,161,2019-10-31,1.08,1,23,0,
284087,Cozy Nest in Heart of City near Convention Cntr,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,243,3,314,2024-02-09,2.14,1,288,16,STR-OPLI-19-002053
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64424,-122.32397,Entire home/apt,90,30,12,2021-02-12,0.08,1,84,0,
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,243,30,117,2019-10-22,0.80,1,263,0,STR-OPLI-21-000724
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65431,-122.33358,Entire home/apt,,3,203,2024-03-19,1.39,1,7,3,STR-OPLI-24-000114
353110,Newly Remodeled Private Cottage in West Seattle!,1788284,Eric,West Seattle,North Admiral,47.58037,-122.39163,Entire home/apt,70,30,90,2024-01-31,0.62,1,268,6,
356248,Amazing Waterview Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,,30,29,2023-08-20,0.32,2,11,1,
