id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,Guesthouse in Seattle · ★4.60 · 1 bedroom · 1 bed · 1 bath,14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,160,2023-08-05,0.93,2,177,1,str-opli-19-002622
9419,Rental unit in Seattle · ★4.72 · 1 bedroom · 1 bed · 3 shared baths,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,85,2,193,2023-09-04,1.21,9,365,23,STR-OPLI-19-003039
9531,Home in Seattle · ★4.96 · 2 bedrooms · 3 beds · 1 bath,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,185,3,77,2023-09-09,0.54,2,318,12,STR-OPLI-19-002182
9534,Guest suite in Seattle · ★4.99 · 2 bedrooms · 2 beds · 1 bath,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,155,2,75,2023-05-28,0.53,2,230,7,STR-OPLI-19-002182
9596,Rental unit in Seattle · ★4.56 · 1 bedroom · 4 beds · 1 bath,14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,2020-09-28,0.65,2,0,0,STR -OPLI-19-002622
9909,Home in Seattle · ★4.80 · 2 bedrooms · 2 beds · 1 bath,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,196,3,82,2023-02-06,0.49,10,364,1,STR-OPLI-19-000033
25002,Guest suite in Seattle · ★4.93 · 1 bedroom · 2 beds · 1 bath,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,89,2,1016,2023-09-08,6.22,1,128,74,STR-OPLI-19-002617
37234,Home in Seattle · ★4.17 · 1 bedroom · 2 beds · 1 bath,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,130,3,6,2023-08-26,0.07,2,311,2,STR-OPLI-19-002333
68508,Rental unit in Seattle · ★4.57 · 2 bedrooms · 2 beds · 1 bath,340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,225,7,7,2023-09-17,0.31,2,58,6,STR-OPLI-19-002747
116221,Rental unit in Seattle · ★4.74 · 1 bedroom · 1 bed · 1 bath,587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,48,2022-03-26,0.32,1,0,0,
119103,Guesthouse in Seattle · ★4.94 · 2 bedrooms · 2 beds · 1 bath,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,112,3,538,2023-09-10,3.60,2,0,37,STR-OPLI-19-000772
132120,Rental unit in Seattle · ★4.68 · 1 bedroom · 1 bed · 1 bath,378445,Ralph,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,2020-08-03,0.84,1,260,0,STR-OPLI-19-001229
132160,Guest suite in Seattle · ★4.85 · 2 bedrooms · 2 beds · 1 bath,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,149,3,378,2023-09-07,2.56,2,164,19,STR-OPLI-19-000659
151545,Rental unit in Seattle · ★4.93 · 3 bedrooms · 3 beds · 1.5 baths,306615,Tara,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,299,90,48,2022-09-25,0.32,3,77,1,STR-OPLI-19-002004
202251,Home in Seattle · ★4.45 · 3 bedrooms · 3 beds · 1 bath,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,225,30,32,2023-06-30,0.29,1,134,1,
210316,Home in Seattle · ★4.76 · 1 bedroom · 1 bed · 4 shared baths,2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,30,76,2023-08-12,0.67,4,320,1,STR-OPLI-19-002472
215882,Bungalow in Seattle · ★4.89 · 1 bedroom · 1 bed · 1 bath,971336,Julie,Rainier Valley,Columbia City,47.56173,-122.28351,Entire home/apt,124,2,410,2023-09-12,2.84,1,59,26,STR-OPLI-22-002017
226536,Cottage in Seattle · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,63,1,355,2023-09-17,2.46,1,0,56,STR-OPLI-19-000684
226677,Rental unit in Seattle · ★4.80 · 1 bedroom · 1 bed · 3 shared baths,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,70,2,262,2023-09-01,1.81,9,356,28,STR-OPLI-19-003039
229990,Home in Seattle · ★4.93 · 2 bedrooms · 4 beds · 3 baths,1201633,Wayne,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,196,3,15,2023-08-18,0.24,1,256,3,STR-OPLI-21-001166
241016,Home in Seattle · ★4.77 · 3 bedrooms · 3 beds · 1 bath,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,332,2,138,2023-09-04,1.16,3,309,14,STR-OPLI-21-000431
