"County","2011","2012","2013","2014"
"Autauga County, Alabama",0.0001772613754,0.0001751069899,0.0001731901535,0.0001724562556
"Baldwin County, Alabama",0.0005987927585,0.0006058834406,0.00061673695,0.0006257693033
"Barbour County, Alabama",0.00008775604803,0.00008657207499,0.00008524536635,0.0000840556559
"Bibb County, Alabama",0.00007300432729,0.00007222677404,0.00007127040486,0.00007085431536
"Blount County, Alabama",0.0001847495748,0.0001834745511,0.0001823422342,0.0001807282998
"Bullock County, Alabama",0.00003426340707,0.00003379526031,0.00003338357537,0.00003349973683
"Butler County, Alabama",0.00006697332571,0.00006586347639,0.00006441900276,0.00006386093506
"Calhoun County, Alabama",0.0003779213679,0.0003734175519,0.0003685864448,0.000364174153
"Chambers County, Alabama",0.0001092352724,0.0001086699564,0.0001080369589,0.0001067448709
"Cherokee County, Alabama",0.00008341655142,0.00008271331012,0.00008233391604,0.00008135381086
"Chilton County, Alabama",0.0001402280086,0.0001388709254,0.0001380660372,0.0001374799291
"Choctaw County, Alabama",0.00004368062828,0.00004321752928,0.00004239641285,0.00004183775629
"Clarke County, Alabama",0.00008212625731,0.00008015460806,0.00007950474585,0.00007811473849
"Clay County, Alabama",0.00004393098385,0.00004280648001,0.00004241856519,0.00004222732465
"Cleburne County, Alabama",0.00004791420522,0.00004744273343,0.00004739334768,0.00004720688789
"Coffee County, Alabama",0.0001619094432,0.0001629571382,0.0001603861014,0.000159148098
"Colbert County, Alabama",0.0001750531108,0.0001738834014,0.0001725635587,0.0001711021914
"Conecuh County, Alabama",0.00004235181792,0.00004157014577,0.0000408615722,0.00003982708091
"Coosa County, Alabama",0.0000368664631,0.00003615321737,0.0000356146324,0.00003467472525
"Covington County, Alabama",0.0001220322939,0.0001204629282,0.000119666937,0.0001186298474
"Crenshaw County, Alabama",0.00004459538903,0.0000443391521,0.00004382049181,0.00004351541356
"Cullman County, Alabama",0.0002580909192,0.0002558032908,0.00025535318,0.000254689737
"Dale County, Alabama",0.0001608759241,0.0001602423011,0.0001575062972,0.0001552429894
"Dallas County, Alabama",0.0001388221657,0.0001363440876,0.0001328380851,0.0001305493824
"DeKalb County, Alabama",0.0002290593017,0.0002260579811,0.0002244095266,0.0002230373081
"Elmore County, Alabama",0.0002567524798,0.000255529258,0.0002548658286,0.0002530246464
"Escambia County, Alabama",0.0001226228762,0.0001211575696,0.0001195118707,0.0001185513054
"Etowah County, Alabama",0.0003349918063,0.0003322743876,0.0003287533741,0.0003248465993
"Fayette County, Alabama",0.00005473158008,0.00005399403035,0.00005324156526,0.00005269226166
"Franklin County, Alabama",0.0001019910092,0.0001009779181,0.00009985325183,0.00009914828796
"Geneva County, Alabama",0.00008587838123,0.00008579140001,0.00008442256518,0.00008354670369
"Greene County, Alabama",0.00002857584198,0.00002819351907,0.00002768409492,0.00002696818353
"Hale County, Alabama",0.00004930399963,0.00004895628695,0.00004824779506,0.0000472697215
"Henry County, Alabama",0.00005577472831,0.00005465680747,0.00005420677433,0.00005365675751
"Houston County, Alabama",0.0003289543854,0.0003293842969,0.0003279907007,0.0003272311346
"Jackson County, Alabama",0.0001708002758,0.0001691324365,0.0001675887763,0.0001651329989
"Jefferson County, Alabama",0.0021123238,0.002096864303,0.002086323141,0.002073421018
"Lamar County, Alabama",0.0000458696347,0.00004540023278,0.00004497557807,0.0000441940165
"Lauderdale County, Alabama",0.0002972394697,0.0002952608345,0.0002933634297,0.0002921762661
"Lawrence County, Alabama",0.0001092930468,0.0001077204007,0.0001062521133,0.0001050703553
"Lee County, Alabama",0.000462612165,0.0004733981179,0.000480417783,0.0004854241618
"Limestone County, Alabama",0.0002746111774,0.0002782580522,0.0002813853434,0.0002846330917
"Lowndes County, Alabama",0.00003575591146,0.00003457593528,0.0000337380128,0.00003296879286
"Macon County, Alabama",0.00006831497481,0.00006566591782,0.0000633588551,0.00006170574238
"Madison County, Alabama",0.001089897314,0.001092084628,0.001096936374,0.001098947195
"Marengo County, Alabama",0.00006631533991,0.00006492347999,0.00006366898785,0.00006278962208
"Marion County, Alabama",0.00009838332118,0.00009713508535,0.00009564747198,0.00009487560278
"Marshall County, Alabama",0.0003013735463,0.0003003527472,0.0002986008757,0.0002961253582
"Mobile County, Alabama",0.001325818926,0.001318595082,0.001309893141,0.001301123746
"Monroe County, Alabama",0.00007316802132,0.00007195274119,0.00007015962327,0.00006888448182
"Montgomery County, Alabama",0.0007356249184,0.0007292906287,0.0007221346159,0.0007148924894
"Morgan County, Alabama",0.0003852394539,0.0003826964316,0.0003783967665,0.0003752548594
"Perry County, Alabama",0.00003354122753,0.0000323836725,0.00003164303442,0.00003079160843
"Pickens County, Alabama",0.0000621202792,0.00006152674725,0.00006107716415,0.00006368814264
"Pike County, Alabama",0.0001059999081,0.0001058372215,0.0001066951601,0.0001043006436
"Randolph County, Alabama",0.00007300432729,0.00007179979262,0.00007135268497,0.0000702259793
"Russell County, Alabama",0.0001760577428,0.0001832196368,0.0001871841027,0.0001860628729
"St. Clair County, Alabama",0.0002695334528,0.0002700848632,0.000271556034,0.0002701719374
"Shelby County, Alabama",0.0006353639304,0.0006401917159,0.0006457058806,0.0006480658082
"Sumter County, Alabama",0.00004329867554,0.00004282559858,0.00004238691899,0.00004169009732
"Talladega County, Alabama",0.0002627545942,0.0002617523528,0.0002581633625,0.000256084643
"Tallapoosa County, Alabama",0.0001328874548,0.0001307965157,0.0001298380254,0.0001284444566
"Tuscaloosa County, Alabama",0.0006314898384,0.000633484284,0.0006363544288,0.0006380312814
"Walker County, Alabama",0.0002137169986,0.0002106356673,0.0002081592034,0.0002052711061
"Washington County, Alabama",0.0000557041152,0.00005463450248,0.00005347258252,0.00005299386297
"Wilcox County, Alabama",0.00003671239814,0.00003601301452,0.00003526968883,0.00003438883235
"Winston County, Alabama",0.00007819439092,0.00007708926387,0.00007654899086,0.00007583702028
"Aleutians East Borough, Alaska",0.00001046036943,0.00001049609537,0.00001057932434,0.00001051206222
"Aleutians West Census Area, Alaska",0.00001791647197,0.00001808616797,0.00001828200918,0.00001829086259
"Anchorage Municipality, Alaska",0.0009506996145,0.0009503682221,0.0009529999671,0.0009421679243
"Bethel Census Area, Alaska",0.00005590953516,0.00005625958099,0.00005649479452,0.00005634917751
"Bristol Bay Borough, Alaska",0.000003305977451,0.000003119513468,0.000003009553529,0.000002975171225
"Denali Borough, Alaska",0.000006008533774,0.000006079705513,0.000006148856473,0.000006019459417
"Dillingham Census Area, Alaska",0.00001587832082,0.00001576963448,0.00001575347788,0.00001565499284
"Fairbanks North Star Borough, Alaska",0.0003149344732,0.0003196338258,0.0003194145808,0.0003118243345
"Haines Borough, Alaska",0.000008261733939,0.000008211426156,0.000008095097714,0.000008026993116
"Hoonah-Angoon Census Area, Alaska",0.000006692197072,0.000006736109777,0.000006696335717,0.000006591245228
"Juneau City and Borough, Alaska",0.0001032267386,0.0001031892994,0.0001031476211,0.0001020449172
"Kenai Peninsula Borough, Alaska",0.0001807021597,0.0001813077797,0.0001804276392,0.0001808288336
"Ketchikan Gateway Borough, Alaska",0.00004388925792,0.00004374647641,0.00004342491432,0.00004336147123
"Kodiak Island Borough, Alaska",0.00004431293658,0.00004472789638,0.00004459898831,0.00004369134766
"Kusilvak Census Area, Alaska",0.00002455731405,0.00002483502346,0.00002523467911,0.00002544761027
"Lake and Peninsula Borough, Alaska",0.000005292773608,0.00000525442054,0.00000527542138,0.000005174347421
"Matanuska-Susitna Borough, Alaska",0.0002944085259,0.0002984950594,0.0003034237564,0.0003082082605
"Nome Census Area, Alaska",0.0000313778986,0.00003130347325,0.00003117783529,0.00003081988355
"North Slope Borough, Alaska",0.00003066534812,0.00003090198326,0.0000309879581,0.00003071306642
"Northwest Arctic Borough, Alaska",0.00002473063714,0.00002455143133,0.00002444668876,0.00002441713914
"Petersburg Borough, Alaska",0.00001044753068,0.00001044192608,0.0000104147641,0.00001024501939
