County,2011_count,2012_count,2013_count,2014_count,2011_weight,2012_weight,2013_weight,2014_weight,total_heat,total_heat_norm,Hour,latitude,length_of_encounter_seconds,longitude,Autumn,Spring,Summer,Winter,Elongated-Symmetric,Light-Only,Other,Rounded,Tapered,Unknown
"Acadia Parish, Louisiana",2.0,0.0,0.0,0.0,0.0001985672767,0.0001975490056,0.0001971526554,0.0001968796781,6043.291825032115,0.010379291263628241,22.0,30.31875,303.0,-92.24166665,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Ada County, Idaho",13.0,15.0,30.0,9.0,0.001287925363,0.001302809515,0.001316326814,0.00133669385,48157.35260141546,0.08270975547878329,16.925373134328357,43.60859252238806,408.56716417910445,-116.24907573432836,22.0,11.0,17.0,17.0,2.0,26.0,9.0,25.0,2.0,3.0
"Adair County, Kentucky",0.0,0.0,0.0,1.0,6.094232413e-05,6.033183657e-05,6.052019104e-05,6.051504556e-05,24787.22417076868,0.04257180138473404,0.0,37.102841,300.0,-85.30635,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Adair County, Missouri",0.0,1.0,0.0,1.0,8.235093539e-05,8.181155086e-05,8.134022539e-05,8.017882243e-05,28486.752250435937,0.048925702634014474,20.0,40.2133333,600.0,-92.64569445000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
"Adair County, Oklahoma",0.0,0.0,0.0,1.0,7.275397172e-05,7.159267477e-05,7.107736304e-05,7.032337139e-05,21330.03538299218,0.03663411536516284,19.0,35.8144444,60.0,-94.6283333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Adams County, Colorado",5.0,8.0,16.0,3.0,0.001451423601,0.001467535121,0.001487301733,0.001507836884,20170.13437523496,0.034641997369698654,14.09375,39.820659259375,936.0,-104.92203682499999,8.0,6.0,14.0,4.0,2.0,11.0,2.0,9.0,3.0,5.0
"Adams County, Idaho",1.0,0.0,0.0,0.0,1.277776333e-05,1.245256244e-05,1.222492669e-05,1.219914453e-05,46956.57483272544,0.08064743206880017,23.0,44.5727778,120.0,-116.675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Adams County, Illinois",6.0,0.0,0.0,0.0,0.0002157262626,0.0002139336208,0.0002120263689,0.0002103857616,16687.815181200844,0.028661150137054683,15.666666666666666,39.98421298333333,1228.3333333333333,-91.38162035,2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0
"Adams County, Iowa",0.0,1.0,0.0,0.0,1.281948926e-05,1.24589353e-05,1.231353605e-05,1.218029445e-05,64210.94425299728,0.11028163325720465,1.0,40.99,15.0,-94.7405556,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Adams County, Mississippi",0.0,0.0,2.0,0.0,0.0001041061928,0.0001025743187,0.0001016191097,0.0001007599699,19681.337554564307,0.03380249388097722,3.0,31.5602778,75.0,-91.4030556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"Adams County, Ohio",0.0,0.0,1.0,0.0,9.134447793e-05,9.015362058e-05,8.889100848e-05,8.817439874e-05,11249.731745646632,0.019321298028683376,1.0,38.948959,10800.0,-83.405746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Adams County, Pennsylvania",3.0,3.0,0.0,0.0,0.0003256997629,0.0003226386279,0.0003200601632,0.0003184187214,12965.22513199949,0.0222676401934008,15.5,39.80888888333333,903.0,-77.16574071666666,3.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0
